,mean,sd,95%_HPDL,95%_HPDU,n.eff,median
b..Intercept..course_id.429.,0.82,2.67,-4.39,6.2,30767,0.83
b..Intercept..course_id.430.,-3.59,3.42,-10.38,2.93,41152,-3.59
b..Intercept..course_id.431.,-1.87,1.64,-5.01,1.41,16397,-1.86
b..Intercept..course_id.432.,-0.07,1.7,-3.4,3.29,18575,-0.07
b..Intercept..course_id.433.,8.77,2.44,3.77,13.43,26877,8.77
b..Intercept..course_id.434.,-5.77,2.48,-10.67,-1,29319,-5.76
b..Intercept..course_id.435.,-1.51,2.52,-6.48,3.47,27529,-1.5
b..Intercept..course_id.436.,15.03,3.2,8.7,21.25,34241,15.04
b..Intercept..course_id.442.,2.68,2.39,-2.11,7.26,28522,2.67
b..Intercept..course_id.445.,0.57,1.41,-2.27,3.22,13391,0.56
b..Intercept..course_id.457.,1.55,2.44,-3.32,6.21,31131,1.57
b..Intercept..course_id.458.,-1.63,2.54,-6.45,3.54,26488,-1.6
b..Intercept..course_id.463.,7.65,2.61,2.57,12.77,26944,7.65
b..Intercept..course_id.467.,-10.81,2.74,-16.2,-5.4,28594,-10.8
b..Intercept..course_id.471.,6.57,2.62,1.4,11.56,26484,6.6
b..Intercept..course_id.476.,-4.36,2.66,-9.56,0.82,30439,-4.34
b..Intercept..course_id.477.,-1.41,3.07,-7.46,4.63,35229,-1.41
b..Intercept..course_id.510.,-8.21,1.22,-10.61,-5.82,10552,-8.21
b..Intercept..course_id.511.,8.23,2.09,4.19,12.3,23875,8.22
b..Intercept..course_id.519.,-13.17,1.94,-17,-9.46,20343,-13.16
b..Intercept..course_id.527.,-4.25,3.17,-10.53,1.87,34838,-4.24
b..Intercept..course_id.528.,1.14,1.19,-1.27,3.37,9516,1.15
b..Intercept..course_id.532.,2.24,1.8,-1.23,5.78,17674,2.22
b..Intercept..course_id.536.,-0.92,2.14,-5.05,3.24,21999,-0.93
b..Intercept..course_id.537.,-10.36,1.96,-14.25,-6.53,21347,-10.35
b..Intercept..course_id.554.,-1.86,1.53,-4.85,1.08,15245,-1.86
b..Intercept..course_id.573.,-0.71,1.64,-3.95,2.42,15145,-0.71
b..Intercept..course_id.576.,-5.95,1.29,-8.43,-3.43,11636,-5.94
b..Intercept..course_id.602.,6.16,1.72,2.72,9.46,18233,6.17
b..Intercept..course_id.603.,-3.46,0.95,-5.33,-1.63,6618,-3.46
b..Intercept..course_id.604.,-3.83,0.88,-5.6,-2.15,5899,-3.81
b..Intercept..course_id.605.,10.36,1.26,7.93,12.84,11616,10.36
b..Intercept..course_id.631.,2.04,2,-1.93,5.93,21953,2.03
b..Intercept..course_id.635.,-0.45,2.5,-5.55,4.29,28947,-0.45
b..Intercept..course_id.641.,0.58,1.98,-3.31,4.4,20172,0.6
b..Intercept..course_id.642.,-4.28,2.13,-8.54,-0.21,23185,-4.28
b..Intercept..course_id.643.,11.46,2.1,7.37,15.59,24261,11.46
b..Intercept..course_id.648.,-7.89,1.13,-10.11,-5.7,9280,-7.9
b..Intercept..course_id.653.,-2.07,1.51,-4.98,0.93,14182,-2.05
b..Intercept..course_id.660.,7.88,2.29,3.28,12.27,26724,7.89
b..Intercept..course_id.663.,-1.66,1.49,-4.64,1.2,14751,-1.65
b..Intercept..course_id.671.,14.04,2.87,8.36,19.61,34613,14.05
b..Intercept..course_id.672.,-2.37,2.27,-6.69,2.23,25036,-2.38
b..Intercept..course_id.693.,5.96,1.66,2.78,9.33,16401,5.96
b..Intercept..course_id.700.,-3.98,0.88,-5.65,-2.2,5922,-3.99
b..Intercept..course_id.703.,-1.34,1.5,-4.27,1.64,14384,-1.34
b..Intercept..course_id.706.,-1.74,2.45,-6.49,3.07,28561,-1.74
b..Intercept..course_id.708.,-3.19,2.87,-8.74,2.46,31440,-3.21
b..Intercept..course_id.709.,3.67,1.44,0.84,6.44,13435,3.66
b..Intercept..course_id.713.,-2.21,2.51,-7.09,2.78,29968,-2.21
b..Intercept..course_id.720.,-3.49,1.49,-6.49,-0.68,14069,-3.49
b..Intercept..course_id.721.,9.2,1.02,7.22,11.2,7189,9.2
b..Intercept..course_id.722.,-0.08,1.92,-3.77,3.71,20850,-0.08
b..Intercept..course_id.725.,17.58,2.69,12.58,23.05,29824,17.57
b..Intercept..course_id.728.,3.04,2.66,-2.07,8.33,29702,3.05
b..Intercept..course_id.732.,-2.93,3.56,-10.11,3.88,41112,-2.92
b..Intercept..course_id.735.,6.21,2.57,1.17,11.23,33459,6.23
b..Intercept..course_id.742.,11.93,2.25,7.5,16.35,24638,11.94
b..Intercept..course_id.764.,2.74,3.37,-3.78,9.28,37212,2.72
b..Intercept..course_id.765.,0.24,2.02,-3.62,4.28,21028,0.22
b..Intercept..course_id.775.,4.41,1.63,1.26,7.62,15323,4.41
b..Intercept..course_id.792.,8.53,1.63,5.47,11.8,15941,8.54
b..Intercept..course_id.814.,7.55,3.07,1.57,13.54,34241,7.55
b..Intercept..course_id.820.,-8.33,3.61,-15.42,-1.31,38273,-8.32
b..Intercept..course_id.823.,-3.73,4.38,-12.27,4.86,40157,-3.72
b..Intercept..course_id.824.,-3.92,3.24,-10.44,2.3,36008,-3.94
b..Intercept..course_id.825.,-1.91,1.41,-4.68,0.86,12729,-1.91
b..Intercept..course_id.829.,1.27,1.13,-0.9,3.48,9190,1.28
b..Intercept..course_id.841.,0.67,3.24,-5.78,6.81,35461,0.66
b..Intercept..course_id.842.,-6.62,2.84,-12.34,-1.22,33713,-6.6
b..Intercept..course_id.849.,-4.79,1.98,-8.63,-0.88,19776,-4.8
b..Intercept..course_id.853.,-8.36,2.86,-14,-2.79,30344,-8.37
b..Intercept..course_id.855.,-6.7,1.88,-10.38,-3.13,20366,-6.7
b..Intercept..course_id.858.,-5.64,2.4,-10.45,-1.14,29943,-5.64
b..Intercept..course_id.870.,5,2.93,-0.69,10.81,30812,4.99
b..Intercept..course_id.871.,2.85,3.34,-3.77,9.27,38099,2.85
b..Intercept..course_id.874.,6.03,3.08,-0.05,11.99,35847,6.03
b..Intercept..course_id.879.,-0.13,2.49,-5.1,4.62,27490,-0.13
b..Intercept..course_id.889.,-7.94,2.13,-12.14,-3.85,23072,-7.93
b..Intercept..course_id.897.,6.2,3.73,-1.22,13.31,38293,6.23
b..Intercept..course_id.901.,-4.37,2.02,-8.27,-0.4,23953,-4.4
b..Intercept..course_id.906.,-4.69,1.61,-7.9,-1.59,17379,-4.7
b..Intercept..course_id.969.,10.71,3.91,2.84,18.24,40270,10.72
b..Intercept..course_id.978.,9.33,2.15,5.2,13.63,23751,9.34
b..Intercept..course_id.998.,8.51,2.64,3.38,13.74,25588,8.54
b..Intercept..course_id.1000.,-1.59,2.53,-6.38,3.47,27341,-1.6
b..Intercept..course_id.1004.,-7.68,2.61,-12.69,-2.4,30934,-7.67
b..Intercept..course_id.1013.,-4.22,1.25,-6.55,-1.7,10935,-4.21
b..Intercept..course_id.1029.,13.32,2.48,8.63,18.38,28314,13.33
b..Intercept..course_id.1030.,1.97,1.37,-0.72,4.66,11970,1.96
b..Intercept..course_id.1065.,-6.82,2.27,-11.12,-2.27,27004,-6.82
b..Intercept..course_id.1089.,-5.75,3.48,-12.81,0.87,39437,-5.75
